public_identifier,title,issuer,issued_on_day,issued_on_month,issued_on_year,description,application_number,patent_number,url
,,,,,,,,,
"adammgrant",,,,,,,,,
"adarsh-pathange",,,,,,,,,
"ajjames","Wine Cube","US","1","1","2010","A Sample Pack and Method of Providing Product Samples","12/730,517","12/730,517",
"akshatha-ganji",,,,,,,,,
"alfredo-garrachon",,,,,,,,,
"andy-jassy-8b1615",,,,,,,,,
"angelwilson36",,,,,,,,,
"aravind-ellandula-a23163206",,,,,,,,,
"arshamg",,,,,,,,,
"avani-sathe-0026a5203",,,,,,,,,
"ayutialgur",,,,,,,,,
"barackobama",,,,,,,,,
"berkgokova",,,,,,,,,
"berniefloresca",,,,,,,,,
"brian-j-porter",,,,,,,,,
"calvinnobles",,,,,,,,,
"ch-divyesh-b17a9a171",,,,,,,,,
"chaitanya-bejjanki-55ba91171",,,,,,,,,
"chriskempczinski",,,,,,,,,
"cira-pozo-sanchez",,,,,,,,,
"deekshitha-gangam",,,,,,,,,
"diwakar-nayak-01355020a",,,,,,,,,
"entrust",,,,,,,,,
"fortnow",,,,,,,,,
"gazcarater",,,,,,,,,
"gopal-raj-suresh-d",,,,,,,,,
"harshal29",,,,,,,,,
,,,,,,,,,
"interlee",,,,,,,,,
"ishanprabhune",,,,,,,,,
"jakka-gunith",,,,,,,,,
"jamiedimon",,,,,,,,,
"javier-moreno-frutos",,,,,,,,,
"joel-miranda-4159801a1",,,,,,,,,
"mauricedawson",,,,,,,,,
"morgan-richards-4a3353207",,,,,,,,,
"narendramodi",,,,,,,,,
"nidhi-patni-jain",,,,,,,,,
"p-s-r-c",,,,,,,,,
"phalgunkollepara",,,,,,,,,
"preetham-voleti-45836619b",,,,,,,,,
"rajcharan-haridasu-3993a2216",,,,,,,,,
"rajeshgopinathan",,,,,,,,,
"rdedhia1",,,,,,,,,
"reidhoffman",,,,,,,,,
"renuka-suresh-adigesula",,,,,,,,,
"roygori",,,,,,,,,
"satyanadella",,,,,,,,,
"shwetha-muralitharan",,,,,,,,,
"sowjanya-msl-593000179",,,,,,,,,
"sukanya-marati",,,,,,,,,
"surya-merala",,,,,,,,,
"varshcs",,,,,,,,,
"vempati-hemapavani",,,,,,,,,
"venkata-sai-deep-gaddipati-654826249",,,,,,,,,
"vinay-kasa-254452148",,,,,,,,,
"vinutha-b-191b03210",,,,,,,,,
"williamhgates",,,,,,,,,
"yashraj-diwate",,,,,,,,,
"yuhan-ding-2122b588",,,,,,,,,
